siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,Mean Percent Cover,Mean Canopy Gap Size m,Mean Basal Gap Size m,Mean Canopy Gap Percent,Mean Basal Gap Percent
MOJN0JOTR0YUBR-191,575418,3769033,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-192,568403,3771580,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-193,587325,3746158,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-194,582931,3754785,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-195,578922,3763886,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-196,573421,3767815,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-197,583209,3752457,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-198,589867,3763899,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-199,574155,3761872,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-200,580935,3765321,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-201,589781,3750322,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-202,585285,3761151,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-203,576756,3756344,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-204,568620,3760558,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-205,556009,3767134,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-206,583827,3760626,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-207,575320,3756258,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-208,566896,3770177,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-209,588406,3748661,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-210,586207,3755628,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-211,578577,3764032,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-212,575695,3767349,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-213,587399,3750387,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-214,589250,3764557,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-215,574496,3760129,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-216,561179,3765029,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-217,588905,3751701,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-218,582264,3763472,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-219,581758,3759634,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-220,571180,3768078,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-221,582759,3765487,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-222,581924,3760228,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-223,572037,3770035,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-224,561870,3765527,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-225,588223,3747283,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-226,586286,3758997,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-227,579520,3762675,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-228,574861,3767409,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-229,584924,3751901,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-230,590223,3764176,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-231,573755,3760947,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-232,565052,3762125,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-233,552597,3770303,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-234,584433,3764764,CR,1308072.229,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-235,576517,3759467,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-236,570199,3769719,JCPF,4968588.156,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-237,583743,3757661,LT,5621027.910,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-238,578477,3761972,PR,5194778.505,None,OverSamp,NotEval,,,,,,
MOJN0JOTR0YUBR-239,575489,3769663,PR,5194778.505,None,OverSamp,NotEval,,,,,,
